,position,title,link,displayed_link,snippet,about_this_result,cached_page_link,related_results,related_pages_link,date,city,rich_snippet,missing,must_include,sitelinks,email,phone,contact_page,email_2,phone_2
0,1,Les meilleurs photographes grossesse à Rennes (et à ...,https://photopresta.fr/photographe-grossesse/rennes,https://photopresta.fr,Les 25 meilleurs photographes naissance & grossesse à Rennes pour tous les styles et budgets. 4000+ photographes naissance & grossesse.,"{'source': {'description': 'photopresta.fr was first indexed by Google more than 10 years ago', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2b5736cf170071f7da28afeb3c66b2b3c908082346c3dcf3a3ffcc34c962ab8a6.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photographes'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:8w3Dm4AAbhsJ:https://photopresta.fr/photographe-grossesse/rennes+&cd=1&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,support@photopresta.com,01 76 54 91 83,https://photopresta.fr/contact,support@photopresta.com,01 76 54 91 83
1,2,Les meilleurs photographes naissance et grossesse à Rennes sur ...,https://monbebebonheur.fr/photographes/rennes/,https://monbebebonheur.fr,Réserver une séance avec les meilleurs photographes à Rennes (Ile-et-Vilaine) sur MonBebeBonheur : 8 photographes nouveau-né et grossesse disponibles.,"{'source': {'description': 'monbebebonheur.fr was first indexed by Google in March 2018', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2b00a904ac6a948bfb77cb7f4ce7a6c8866a2ff2198be4dfd3e2a561d30f5a389.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photographes'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:52MmDesxn5cJ:https://monbebebonheur.fr/photographes/rennes/+&cd=2&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,_no phone found,https://monbebebonheur.fr/javascript:zE.activate();,_no email found,_no phone found
2,3,Séance photo maternité à Rennes - Olivia Poirier,https://oliviapoirier.fr/seance-photo-maternite-rennes/,https://oliviapoirier.fr,"Une séance photo pour votre grossesse, la naissance de votre enfant, sont des moments parfaits pour célébrer ce qui vous unit, votre histoire de vie, et l' ...","{'source': {'description': 'oliviapoirier.fr was first indexed by Google in September 2014', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2175514fb78d280def888e1ae4a5707310b36590e356c1e60a765ab6755df9d97.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo', 'maternite'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:iytIyM_FwpoJ:https://oliviapoirier.fr/seance-photo-maternite-rennes/+&cd=3&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,_no phone found,https://oliviapoirier.fr/contact/,_no email found,_no phone found
3,4,"Photographe Rennes - Famille, Femme enceinte & Bébé",https://www.meggmphotographies-rennes.com/2-2.htm,https://www.meggmphotographies-rennes.com,"Megg'M Photographies immortalise les plus beaux moments de votre vie de Famille à Rennes : Shooting photo Mariage, Grossesse, Naissance...","{'source': {'description': 'meggmphotographies-rennes.com was first indexed by Google in August 2020', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2ca5b11dc52b470e4122328891e9b6d3a8448bf2ab00d10ea4eb67f06282e573d.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo', 'enceinte'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:aefIBrssEDcJ:https://www.meggmphotographies-rennes.com/2-2.htm+&cd=4&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,06 99 89 25 32,https://www.fotostudio.io/lead_forms/179,xa0meggmphotographies@gmail.com,_no phone found
4,5,Naissance - Pauline.F Photography,https://www.paulinefphotography.com/blog/nouveaux-nes/,https://www.paulinefphotography.com,Naissance. QUAND RESERVER LA SEANCE NOUVEAU-NE DE MON BEBE ? L'idéal est me contacter au cours de votre deuxième trimestre de grossesse.,"{'source': {'description': 'paulinefphotography.com was first indexed by Google more than 10 years ago', 'security': 'secure'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:8JQJrfUjWLwJ:https://www.paulinefphotography.com/blog/nouveaux-nes/+&cd=8&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,paulinefphotography@gmail.com,06.48.62.77.03,https://www.paulinefphotography.com/#contact-form,paulinefphotography@gmail.com,06.48.62.77.03
5,6,Grossesse - Photographe Rennes - Méa Photography,https://www.mea-photography.com/category/seances-photo/famille/grossesse/,https://www.mea-photography.com,"Photographe professionnelle Rennes et Piré-Sur-Seiche | Photos de grossesse, naissance et famille | Ille & Vilaine, Bretagne (35)","{'source': {'description': 'mea-photography.com was first indexed by Google in April 2012', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f220ba5a2019c720d26eac560318112def9abab0d97d8b6184ea9a9f1084407175.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:BqOIGRGdwowJ:https://www.mea-photography.com/category/seances-photo/famille/grossesse/+&cd=9&hl=en&ct=clnk&gl=us,"[{'position': 1, 'title': 'Photographe de grossesse / femme enceinte à Rennes - Méa ...', 'link': 'https://www.mea-photography.com/seance-photo-grossesse-rennes/', 'displayed_link': 'https://www.mea-photography.com › ...', 'snippet': ""Etant photographe professionnelle près de Rennes, depuis 2013. J'ai le privilège de réaliser nombreuses séances photo pour immortaliser vos souvenirs de ..."", 'about_this_result': {'source': {'description': 'mea-photography.com was first indexed by Google in April 2012', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2686f0ba86de488d3d005762be513213f42e2e9aafb9fa355228e7fef10622a6e42ab2c2bcc33c1360a4a5dd8fa95dac67a500e0d9abdd824.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo', 'enceinte'], 'languages': ['English'], 'regions': ['the United States']}, 'cached_page_link': 'https://webcache.googleusercontent.com/search?q=cache:Zh-oSKdNtAwJ:https://www.mea-photography.com/seance-photo-grossesse-rennes/+&cd=10&hl=en&ct=clnk&gl=us'}]",,,Rennes,,,,,_no email found,_no phone found,https://www.mea-photography.com/contact/,_no email found,_no phone found
6,7,Petra Kovacova - Photographe Bébé et Famille près de Rennes,https://petrakovacova.fr/,https://petrakovacova.f,"Photographe Bébé, Maternité et Famille près de Rennes. Studio Photo à Bréal sous Montfort. Séances photo naturels à l'extérieur en Bretagne.","{'source': {'description': 'petrakovacova.fr was first indexed by Google in October 2015', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2f79db1b7dd17b9ddc3f9b668445b2d57acce545efc2d8fb9cb939a55f5a1826f.png'}, 'keywords': ['photographe', 'naissance', 'rennes'], 'related_keywords': ['photo'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:-SVm1OPwWxwJ:https://petrakovacova.fr/+&cd=11&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,_no phone found,https://petrakovacova.f/_broken link,_no email found,_no phone found
7,8,Séance Nouveau-né - Photographe Rennes,https://www.maudpphotographie.com/portfolios/seance-nouveau-ne/,https://www.maudpphotographie.com,"En effet, Maud nous a suivi pour le shooting grossesse et en plus la naissance de notre fils. Ainsi, nous sommes très satisfaits des photos."" Alissia et Nicolas.","{'source': {'description': 'maudpphotographie.com was first indexed by Google in March 2015', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f238e56d4e694833dfa415a6d1e83b8eca9a2c040666b614d4ed4c1d10c091db2a.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:xPDVydkN5mEJ:https://www.maudpphotographie.com/portfolios/seance-nouveau-ne/+&cd=12&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,maudprudhommeaux@orange.fr,06 59 39 75 77,https://www.maudpphotographie.com/_no contact page found,someone@example.com,_no phone found
8,9,Photographe- Charlotte VAUTIER - Grossesse - Nouveau-né ...,https://www.charlottevautier.fr/,https://www.charlottevautier.f,"Photographe de maternité, nouveau-né, famille. Je réalise également des prises de vue avec les chevaux. Secteur Bretagne, Ille-et-Vilaine, Rennes.","{'source': {'description': 'charlottevautier.fr was first indexed by Google in March 2020', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f213b3e4554b57478219c066c353c13e808872d1a00ff4a6c9c8599f87db1a73cb.jpeg'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:5uR6tmLg_5AJ:https://www.charlottevautier.fr/+&cd=13&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,_no phone found,https://www.charlottevautier.f/_broken link,_no email found,_no phone found
9,10,Photographe Grossesse Rennes & Saint-Malo - La Fabrique à ...,https://www.lafabriqueareves-photographie.fr/s%C3%A9ance-grossesse-rennes,https://www.lafabriqueareves-photographie.fr,Séance Grossesse Rennes et Saint-Malo | Photographe Grossesse & Naissance | Séance photo grossesse Rennes | Séance photo grossesse Sain-Malo.,"{'source': {'description': 'lafabriqueareves-photographie.fr was first indexed by Google in September 2020', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2b0cf560c9267531e7a37b2671462d3e4b46aebc9c5714bc305c80d1d68b39880.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:RmwF-VYGkGQJ:https://www.lafabriqueareves-photographie.fr/s%25C3%25A9ance-grossesse-rennes+&cd=14&hl=en&ct=clnk&gl=us,"[{'position': 1, 'title': 'La Fabrique à Rêves: Photographe Naissance et Grossesse ...', 'link': 'https://www.lafabriqueareves-photographie.fr/', 'displayed_link': 'https://www.lafabriqueareves-photographie.fr', 'snippet': 'Photographe Bébé, Naissance, Grossesse et Famille entre Rennes et Saint-Malo. Studio Photo à Meillac, proche de Combourg et Dol-de-Bretagne.', 'about_this_result': {'source': {'description': 'lafabriqueareves-photographie.fr was first indexed by Google in September 2020', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2ca8a7eb4a98457fc2be8373f669708808b58d89536835a69bf8df84aa2495b6ceaec5292cc0720162f16d0ceb581d333557e19a4a485db9c.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo'], 'languages': ['English'], 'regions': ['the United States']}, 'cached_page_link': 'https://webcache.googleusercontent.com/search?q=cache:nFEq4ojgHZAJ:https://www.lafabriqueareves-photographie.fr/+&cd=15&hl=en&ct=clnk&gl=us'}]",,,Rennes,,,,,lafabriqueareves-photographie@outlook.fr,07 85 15 43 65,https://www.lafabriqueareves-photographie.fr/_no contact page found,_no email found,_no phone found
